Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
"Functional bug: Inventory sorting criteria is fixed on ""Name (A to Z)""",PIAMTK-40,10557,Bug,To Do,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,High,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,14/Aug/26 11:07 PM,15/Aug/26 11:33 AM,15/Aug/26 1:48 PM,,,0,ManualTesting,,,,"h3. Technical details:

* *Browser:* Brave Browser 1.93.134; Chromium 151.0.7922.108
* *Login credentials:* username - “_problem_user”;_ password - “_secret_sauce_“

h3. Bug description

* The select options menu is displayed correctly
* Any choice selected results in the same fixed sorting criteria: _Name (A to Z)_

*Steps to reproduce:* 
-> +Login+ (username - “_problem_user”;_ password - “_secret_sauce_“)

→ +Click+ the sorting dropdown option menu

→ +Select+ any of the other 3 sorting criteria (e.g. “Price (low to high)” )

 

*Expected behavior:* Sorting criteria to be updated and inventory-items to be sorted
*Actual behavior:* Nothing happens, sorting criteria is fixed on “_Name (A to Z)_“",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0007z:,,,,,10352,PIAMTK-27,Manual Testing - identify bugs,To Do,14/Aug/26 11:07 PM
"Functional bug: Reset App State button does not change ""Remove"" button back to ""Add to cart"" button.",PIAMTK-39,10556,Bug,To Do,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,14/Aug/26 10:54 PM,15/Aug/26 11:34 AM,15/Aug/26 11:36 AM,,,0,ManualTesting,,,,"h3. Technical details:

* *Browser:* Brave Browser 1.93.134; Chromium 151.0.7922.108
* *Login credentials:* username - “_standard_user”;_ password - “_secret sauce_“

h3. Bug description:

* The *Reset app state* button removes the selected items from the cart correctly, but +does not update+ visually the “Remove” button back to “Add to cart” for the individual product cards
* In the attached picture, 2 items were selected, then app state was reset. One more item was selected, resulting in 3 items appearing as selected, but only a “1” in the shopping cart badge icon.



*Steps to reproduce:* 
-> +Login+ (username - “_standard_user”;_ password - “_secret_sauce_“)

→ +Click+ “*Add to cart*” button for 2 different products

→ +Click+ the *expand-side-menu* button in the upper-right corner

→ +Click+ “*Reset App State*” button

→ +Click+ “*Add to cart*” button for a third different product



*Expected behavior:* When clicking the “Reset App State”, the “Remove” button from all previously selected items +should be replaced+ with the “*Add to cart*” button
*Actual behavior:* Items are removed from cart, but the “Remove” button is still displayed",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,14/Aug/26 10:51 PM;4f649c79-d7da-4bd4-8818-5a347df2773a;image-20260814-195143.png;https://armandveress.atlassian.net/rest/api/3/attachment/content/10003,,,0|i0007r:,,,,,10352,PIAMTK-27,Manual Testing - identify bugs,To Do,14/Aug/26 10:54 PM
Logic bug: User can proceed to checkout with empty shopping cart,PIAMTK-37,10554,Bug,To Do,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,High,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,14/Aug/26 10:43 PM,15/Aug/26 11:35 AM,15/Aug/26 11:34 AM,,,0,ManualTesting,,,,"h3. Technical details:

* *Browser:* Brave Browser 1.93.134; Chromium 151.0.7922.108
* *Login credentials:* username - “_standard_user”;_ password - “_secret_sauce_“

h3. Bug description:

The user should receive a warning-message of an empty cart, when trying to go to checkout.

*Steps to reproduce:* 
-> +Login+ (username - “_standard_user”;_ password - “_secret_sauce_“)

→ +Click+ *cart icon* button

→ +Click+ “*Checkout*” button

→ +Enter+ anything in all 3 fields (e.g. First name - “validFirstName”; Last name - “validLastName”; Postal code - “1020”)

→ +Click+ “*Continue*” button to proceed

→ +Click+ “*Finish*” button

→ +Click+ “*Generate PDF order*” and save the confirmation-document

*Expected behavior:* When clicking the “Checkout” button, the user should not be allowed to proceed with an empty cart and receive a warning message (e.g. “Can’t proceed with empty basket”)
*Actual behavior:* The case of an empty cart is not covered and a user can complete a +null order+.",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,14/Aug/26 10:43 PM;4f649c79-d7da-4bd4-8818-5a347df2773a;empty-cart-bug_order-confirmation.pdf;https://armandveress.atlassian.net/rest/api/3/attachment/content/10001,,,0|i0007j:,,,,,10352,PIAMTK-27,Manual Testing - identify bugs,To Do,14/Aug/26 10:43 PM
Write a test that validates checkout's subtotal and completes an order,PIAMTK-36,10521,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,14/Aug/26 6:38 PM,14/Aug/26 6:38 PM,,14/Aug/26 6:38 PM,,0,Automation,QA,,,"* Test that the sum of prices of the selected cart-items is displayed corrected as *items subtotal*
* Test a *completed order*",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0006z:,,,,,10486,PIAMTK-33,Write a test suite for the entire checkout process,Done,14/Aug/26 6:38 PM
Write test for checkout data validation,PIAMTK-35,10488,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,14/Aug/26 4:34 PM,14/Aug/26 6:36 PM,,14/Aug/26 6:36 PM,,0,Automation,QA,,,Ensure data validation works properly for required fields,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0007b:,,,,,10486,PIAMTK-33,Write a test suite for the entire checkout process,Done,14/Aug/26 6:36 PM
Test cart list behaviour,PIAMTK-34,10487,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,14/Aug/26 4:32 PM,14/Aug/26 4:32 PM,,14/Aug/26 4:32 PM,,0,Automation,QA,,,Ensure that the cart page is *synchronized* with the inventory and the *selected items* are displayed.,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i00073:,,,,,10486,PIAMTK-33,Write a test suite for the entire checkout process,Done,14/Aug/26 4:32 PM
Write a test suite for the entire checkout process,PIAMTK-33,10486,Epic,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,14/Aug/26 4:30 PM,14/Aug/26 6:38 PM,14/Aug/26 6:38 PM,14/Aug/26 6:38 PM,,0,Automation,FunctionalTest,QA,,"* Test *cart list behavior* and +synchronization with inventory+
* Test *total sum* displayed in the checkout’s first step is correct
* Test *checkout data validation*",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,blue,0|i0006v:,,,,,,,,Done,14/Aug/26 6:38 PM
Test sorting function for inventory items,PIAMTK-32,10453,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,14/Aug/26 12:06 PM,14/Aug/26 12:07 PM,,14/Aug/26 12:07 PM,,0,Automation,QA,,,"Test sorting inventory items for each different sorting criteria:

* A to Z
* Z to A
* low to high
* high to low",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0006n:,,,,,10385,PIAMTK-28,Write an extensive testing suite for the inventory.html page,Done,14/Aug/26 12:07 PM
Automation - Timeout bug: Remove button not displayed after adding to cart,PIAMTK-31,10420,Bug,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,14/Aug/26 9:10 AM,14/Aug/26 12:10 PM,14/Aug/26 12:10 PM,14/Aug/26 12:07 PM,,0,Automation,bug,QA,,"h3. Traceback:

* *1* Failed test
* *Script name:* functional-tests.xml
* *Suite name:* SauceDemo FunctionalTests
* *Test-Class name:* tests.InventoryTest
* *Thrown assertion-error:*
{noformat}java.lang.AssertionError: Item added to cart but no button to remove.
Expected :true
Actual   :false
...
at tests.InventoryTest.testAddToAndRemoveFromCart(InventoryTest.java:30){noformat}

h3. *Technical details - Environment*

* *Browser:* Google Chrome - v151.0.7922.137
* *Driver:* _Chromium:_ [+https://storage.googleapis.com/chrome-for-testing-public/151.0.7922.77/win64/chromedriver-win64.zip+|https://storage.googleapis.com/chrome-for-testing-public/151.0.7922.77/win64/chromedriver-win64.zip]

h3. Observations:

* Debugging exception thrown in *BaseComponent* class, *isElementDisplayed()* Method:

{noformat}Exception thrown: Element does not existExpected condition failed: waiting for presence of child element found by By.cssSelector: .btn_secondary.btn_inventory
(tried for 3 seconds with 500 milliseconds interval)
{noformat}",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,PIAMTK-29,,,,,,,,0|i00063:,,,,"14/Aug/26 10:53 AM;712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d;The test was failing due to Google Chrome’s aggressive pop-up behaviour.
The bug was fixed with extensive ChromeOptions:

{noformat}chromeOptions.addArguments(""--disable-features=PasswordLeakDetection"");
                chromeOptions.addArguments(""--disable-notifications"");
                chromeOptions.addArguments(""--disable-popup-blocking"");
                chromeOptions.addArguments(""--disable-save-password-bubble"");

                Map<String, Object> prefs = new HashMap<>();
                prefs.put(""credentials_enable_service"", false);
                prefs.put(""profile.password_manager_enabled"", false);
                prefs.put(""profile.password_manager_leak_detection"", false);
                prefs.put(""safebrowsing.enabled"", false);

                chromeOptions.setExperimentalOption(""prefs"", prefs);{noformat}",10385,PIAMTK-28,Write an extensive testing suite for the inventory.html page,Done,14/Aug/26 12:07 PM
Refactor the page-classes by separating shared components ,PIAMTK-30,10387,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,High,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,13/Aug/26 7:37 PM,13/Aug/26 7:37 PM,,13/Aug/26 7:37 PM,,0,Automation,cleanCode,QA,,"* Write a class for the *shared header* component
* Write a class for the *shared side menu* component",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i00067:,,,,,10385,PIAMTK-28,Write an extensive testing suite for the inventory.html page,Done,13/Aug/26 7:37 PM
Test adding / removing items to cart,PIAMTK-29,10386,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,13/Aug/26 6:39 PM,14/Aug/26 12:07 PM,14/Aug/26 12:06 PM,14/Aug/26 12:04 PM,,0,Automation,QA,,,"Test the *Add to cart* and *Remove* buttons +for each+ product, while validating the +updated+ *shopping cart badge number.*",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,PIAMTK-31,,,,,,,,,0|i0005z:,,,,,10385,PIAMTK-28,Write an extensive testing suite for the inventory.html page,Done,14/Aug/26 12:04 PM
Write an extensive testing suite for the inventory.html page,PIAMTK-28,10385,Epic,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,13/Aug/26 6:36 PM,14/Aug/26 12:07 PM,14/Aug/26 12:07 PM,14/Aug/26 12:07 PM,,0,Automation,FunctionalTest,QA,,"Test core functions of the inventory.html page:

* Test *Add to cart / Remove* buttons
* Test that the *shopping cart badge* +is updated+ based on the number of products in cart
* Test *sorting the products* based on different criteria
* Test *navigation* to cart.html",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,yellow,0|i0005r:,,,,,,,,Done,14/Aug/26 12:07 PM
